Year,Type,Country,Activity,Sex,Age,Fatal (Y/N)
2015,Unprovoked,USA,NA,M,32,N
2015,Unprovoked,AUSTRALIA,Surfing,M,52,N
2015,Unprovoked,AUSTRALIA,Body boarding,M,32,N
2015,Unprovoked,USA,Swimming,M,68,N
2015,Unprovoked,AUSTRALIA,Surfing,M,NA,N
2015,Unprovoked,USA,Playing in the water,M,12,N
2015,Unprovoked,USA,Swimming,M,18,N
2015,Unprovoked,SOUTH AFRICA,Body Boarding,M,19,N
2015,Invalid,USA,Swimming,F,NA,NA
2015,Unprovoked,SOUTH AFRICA,Surfing,M,23,N
2015,Unprovoked,USA,Standing,M,43,N
2015,Provoked,AUSTRALIA,Swimming,M,19,N
2015,Unprovoked,USA,Body surfing?,M,47,N
2015,Unprovoked,USA,Swimming,M,6,N
2015,Invalid,AUSTRALIA,Surfing,F,37,N
2015,Unprovoked,USA,Standing,M,9,N
2015,Unprovoked,PUERTO RICO,Spearfishing,M,36,N
2015,Unprovoked,USA,Swimming,M,10,N
2015,Unprovoked,USA,Wading,M,16,N
2015,Unprovoked,USA,Wading,F,12,N
2015,Unprovoked,USA,NA,F,NA,N
2015,Unprovoked,USA,Boogie boarding,F,13,N
2015,Unprovoked,USA,Playing,M,11,N
2015,Unprovoked,USA,Attempting to rescue a shark,F,17,N
2015,Unprovoked,REUNION,Surfing,M,47,N
2015,Unprovoked,USA,Standing,F,14,N
2015,Unprovoked,USA,Wading,F,19,N
2015,Unprovoked,FRENCH POLYNESIA,Spearfishing,M,19,N
2015,Unprovoked,USA,Swimming,F,13,N
2015,Unprovoked,USA,Surfing,M,18,N
2015,Unprovoked,USA,NA,M,30,N
2015,Unprovoked,NEW CALEDONIA,Snorkeling,M,50,Y
2015,Unprovoked,USA,Swimming,M,NA,N
2015,Unprovoked,AUSTRALIA,Surfing,M,NA,N
2015,Unprovoked,SOUTH AFRICA,Diving,M,29,N
2015,Unprovoked,USA,Snorkeling,F,65,Y
2015,Unprovoked,USA,Wading,M,63,N
2015,Unprovoked,AUSTRALIA,Surfing,M,26,N
2015,Unprovoked,AUSTRALIA,Surf skiing,M,71,N
2015,Unprovoked,USA,Photographing the shark,M,48,N
2015,Unprovoked,REUNION,Surfing,M,13,Y
2015,Unprovoked,AUSTRALIA,Paddle boarding,M,NA,N
2015,Unprovoked,USA,Spearfishing,M,70,N
2015,Invalid,ITALY,Diving,M,43,NA
2015,Invalid,BRAZIL,Surfing,M,23,NA
2015,Boating,SOUTH AFRICA,Kayak Fishing,M,36,N
2015,Unprovoked,EGYPT,Swimming,M,52,Y
2015,Unprovoked,USA,Standing / Snorkeling,M,58,N
2015,Unprovoked,FRENCH POLYNESIA,Hand feeding sharks,M,9,N
2015,Boating,AUSTRALIA,Fishing,M,NA,N
2015,Provoked,MEXICO,Fishing,M,36,N
2015,Unprovoked,FRENCH POLYNESIA,Sitting in the water,M,18 months,N
2015,Boating,ATLANTIC OCEAN,Transatlantic Rowing,NA,NA,N
2015,Unprovoked,REUNION,Swimming,F,22,Y
